mac_client, domain, ip, ip_type 
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.27.114,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/129.227.182.141,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.27.124,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.94.38,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.94.41,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.94.39,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.94.25,IPv6
c4:a3:66:e8:a1:44,pull-f5-gcp01.tiktokcdn.com,/156.59.94.35,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-f16-tt01.fcdn.us.tiktokv.com,/113.171.231.25,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-f16-tt01.fcdn.us.tiktokv.com,/113.171.231.24,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-f77-va01.tiktokcdn.com,/138.199.46.247,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.229,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.226,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.231,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.230,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.227,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.228,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.225,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-va01.tiktokcdn.com,/163.171.218.224,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.189,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.122,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/123.30.147.130,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.228,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/123.30.147.132,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.218,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.190,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.58,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.120,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.59,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.220,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.121,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.217,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.227,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.tiktokcdn.com,/43.132.68.226,IPv6
c4:a3:66:e8:a1:44,pull-hls-f58-sg01.tiktokcdn.com,/103.1.211.14,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.217,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.227,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.226,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.189,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.122,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/123.30.147.130,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.228,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/123.30.147.132,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.218,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.190,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.58,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.120,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.59,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.220,IPv6
c4:a3:66:e8:a1:44,pull-flv-l11-va01.ttlivecdn.com,/43.132.68.121,IPv6
c4:a3:66:e8:a1:44,pull-a5-sg01.tiktokcdn.com,/156.59.149.147,IPv6
c4:a3:66:e8:a1:44,pull-a16-tt01.fcdn.us.tiktokv.com,/156.59.149.147,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l10-sg01.tiktokcdn.com,/49.229.94.41,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l10-sg01.tiktokcdn.com,/156.59.107.86,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l10-sg01.tiktokcdn.com,/36.66.3.174,IPv6
d4:9a:a0:52:c9:79,v39-vn.tiktokcdn.com,/14.238.100.241,IPv4
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.196,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.201,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.193,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.204,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.197,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.195,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.194,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.203,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.200,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-sg01.tiktokcdn.com,/14.225.20.199,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.226,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.225,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.227,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.224,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.229,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.228,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.230,IPv6
c4:a3:66:e8:a1:44,pull-flv-l1-gcp01.tiktokcdn.com,/163.171.218.231,IPv6
c4:a3:66:e8:a1:44,pull-w5-sg01.tiktokcdn.com,/156.59.149.142,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l16-tt01.tiktokcdn-us.com,/113.171.231.25,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l16-tt01.tiktokcdn-us.com,/113.171.231.40,IPv6
c4:a3:66:e8:a1:44,pull-cmaf-l77-va01.tiktokcdn.com,/138.199.46.247,IPv6
c4:a3:66:e8:a1:44,pull-f5-tt01.tiktokcdn.com,/156.59.94.25,IPv6
c4:a3:66:e8:a1:44,pull-f5-tt01.tiktokcdn.com,/156.59.94.32,IPv6
c4:a3:66:e8:a1:44,pull-f5-tt01.tiktokcdn.com,/156.59.94.24,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-tt01.tiktokcdn-us.com,/14.225.20.194,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-tt01.tiktokcdn-us.com,/14.225.20.201,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-tt01.tiktokcdn-us.com,/14.225.20.195,IPv6
c4:a3:66:e8:a1:44,pull-flv-l16-tt01.tiktokcdn-us.com,/14.225.20.196,IPv6
